Configuration,Term,term_label,Prefix,Suffix,Lande,lande_g,leading_pct,Reference,Z,A,proton_number,neutron_number,J,S_qn,L_qn,parity,Level (cm-1),Uncertainty (cm-1),1s,2s,2p,3s,3p,3d,4s,4p,4d,5s,5p,5d,6s,6p
3d7.(2H).4s2.(1S),2H,,,,1.1,1.1,,Co-atom-AI,27,59,27,32,4.5,0.5,5,0,21780.441,,2,2,6,2,6,7,2,0,0,0,0,0,0,0
3d7.(4F).4s5.(3S),6F,,,,1.475,1.475,,Co-atom-AI,27,59,27,32,4.5,2.5,3,0,45675.938,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d8.(3F).4d.(2D),4G,,,,1.147,1.147,,Co-atom-AI,27,59,27,32,4.5,1.5,4,0,51174.23,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d8.(3F).4d.(2D),2H,,,,1.218,1.218,,Co-atom-AI,27,59,27,32,4.5,0.5,5,0,51203.691,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d8.(3F).4d.(2D),4H,,,,1.13,1.13,,Co-atom-AI,27,59,27,32,4.5,1.5,5,0,52113.844,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d7.(4F).4s4.(1D),4G,,,,1.274,1.274,,Co-atom-AI,27,59,27,32,4.5,1.5,4,0,53511.734,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6F,,,,1.421,1.421,,Co-atom-AI,27,59,27,32,4.5,2.5,3,0,53660.238,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1D),4H,,,,1.168,1.168,,Co-atom-AI,27,59,27,32,4.5,1.5,5,0,54315.609,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6G,,,,1.32,1.32,,Co-atom-AI,27,59,27,32,4.5,2.5,4,0,54367.332,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6H,,,,1.22,1.22,,Co-atom-AI,27,59,27,32,4.5,2.5,5,0,54947.633,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s6.(3S),6F,,,,1.455157,1.455157,,Co-atom-AI,27,59,27,32,4.5,2.5,3,0,56869.066,,2,2,6,2,2,7,6,0,0,0,0,0,0,0
3d8.(3F).4d.(2D),4H,,,,1.224,1.224,,Co-atom-AI,27,59,27,32,6.5,1.5,5,0,51142.457,,2,2,6,2,6,8,0,0,1,0,0,0,0,0
3d7.(4F).4s4.(1D),4H,,,,1.227,1.227,,Co-atom-AI,27,59,27,32,6.5,1.5,5,0,53617.984,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6G,,,,1.35,1.35,,Co-atom-AI,27,59,27,32,6.5,2.5,4,0,53728.23,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6H,,,,1.289,1.289,,Co-atom-AI,27,59,27,32,6.5,2.5,5,0,54452.305,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3D),6H,,,,1.34,1.34,,Co-atom-AI,27,59,27,32,7.5,2.5,5,0,53821.957,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6F*,,,,-0.622,-0.622,,Coi-odd-atom-AI,27,59,27,32,0.5,2.5,3,1,25232.74,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6D*,,,,3.286,3.286,,Coi-odd-atom-AI,27,59,27,32,0.5,2.5,2,1,26250.469,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4D*,,,,-0.006,-0.006,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,30742.605,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4D*,,,,0.012,0.012,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,33449.086,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4D*,,,,0.026,0.026,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,41101.756,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),4P*,,,,2.51,2.51,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,1,1,41969.827,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(1D).4p.(2P),2P*,,,,0.727,0.727,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,1,1,43130.181,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4D*,,,,0.169,0.169,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,43435.53,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2S*,,,,2.1,2.1,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,0,1,44454.455,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4P*,,,,2.371,2.371,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,1,1,44857.509,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4P*,,,,2.522,2.522,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,1,1,45957.191,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4D*,,,,0.161,0.161,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,46502.068,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),2P*,,,,0.656,0.656,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,1,1,47091.095,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4D*,,,,0.016,0.016,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,47905.198,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),2S*,,,,1.699,1.699,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,0,1,48026.24,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(2D).4s4.(3P),4D*,,,,0.452,0.452,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,48571.681,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2P*,,,,1.5,1.5,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,1,1,48837.688,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),2S*,,,,1.365,1.365,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,0,1,49754.699,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4,2P*,,,,0.732,0.732,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,1,1,50945.437,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).5p.(2P),4D*,,,,0.069,0.069,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,52263.935,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(2D).4s4,4P*,,,,2.304,2.304,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,1,1,52355.084,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4,2P*,,,,0.733,0.733,,Coi-odd-atom-AI,27,59,27,32,0.5,0.5,1,1,53962.567,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(1P),4D*,,,,0.626,0.626,,Coi-odd-atom-AI,27,59,27,32,0.5,1.5,2,1,56133.258,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6F*,,,,1.118,1.118,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,3,1,25041.111,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6D*,,,,1.812,1.812,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,2,1,26063.141,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6G*,,,,0.006,0.006,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,4,1,26597.594,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4F*,,,,0.41,0.41,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,3,1,29563.111,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4D*,,,,1.192,1.192,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,30443.596,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4D*,,,,1.195,1.195,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,33150.616,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(3F).4p.(2P),4F*,,,,0.43,0.43,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,3,1,34196.147,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4F).4s4.(3P),2D*,,,,0.787,0.787,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,2,1,34352.358,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4D*,,,,0.794,0.794,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,36875.089,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),6D*,,,,1.866,1.866,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,2,1,38980.822,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4S*,,,,2.017,2.017,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,0,1,40621.588,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4D*,,,,1.24,1.24,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,40827.712,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),6P*,,,,2.34,2.34,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,1,1,41247.585,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),4P*,,,,1.732,1.732,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,1,1,41982.609,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4F*,,,,0.406,0.406,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,3,1,42796.626,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4D*,,,,1.191,1.191,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,43263.512,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(1D).4p.(2P),2D*,,,,1.12,1.12,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,2,1,43537.659,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(1D).4p.(2P),2P*,,,,1.127,1.127,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,1,1,43911.309,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4F*,,,,0.415,0.415,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,3,1,44555.647,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4P*,,,,1.674,1.674,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,1,1,44657.95,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),4S*,,,,1.674,1.674,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,0,1,45904.617,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2D*,,,,1.218,1.218,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,2,1,46186.336,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4P*,,,,1.508,1.508,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,1,1,46259.94,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),2D*,,,,1.273,1.273,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,2,1,46562.784,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2D*,,,,0.869,0.869,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,2,1,46454.883,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),2P*,,,,1.352,1.352,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,1,1,46685.371,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4D*,,,,1.122,1.122,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,47612.11,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2P*,,,,1.436,1.436,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,1,1,48334.327,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),4D*,,,,1.05,1.05,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,48546.026,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4S*,,,,1.728,1.728,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,0,1,48753.666,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2P*,,,,1.099,1.099,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,1,1,49025.378,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),4F*,,,,0.569,0.569,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,3,1,50104.979,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),2P*,,,,1.34,1.34,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,1,1,50925.051,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).5p.(2P),4D*,,,,1.11,1.11,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,51847.266,,2,2,6,2,6,8,0,0,0,0,1,0,0,0
3d7.(2D).4s4.(3P),4P*,,,,1.616,1.616,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,1,1,52014.412,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),2D*,,,,0.823,0.823,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,2,1,53074.869,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6D*,,,,1.55,1.55,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,2,1,53738.086,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),2P*,,,,1.353,1.353,,Coi-odd-atom-AI,27,59,27,32,1.5,0.5,1,1,54165.239,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),6F*,,,,1.124,1.124,,Coi-odd-atom-AI,27,59,27,32,1.5,2.5,3,1,54129.14,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4P).4s4.(1P),4S*,,,,1.959,1.959,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,0,1,55226.856,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(1P),4D*,,,,1.275,1.275,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,55430.283,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s5.(3P),4D*,,,,1.103,1.103,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,2,1,55622.759,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4F).4s5.(1P),4F*,,,,0.59,0.59,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,3,1,55737.807,,2,2,6,2,3,7,5,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4P*,,,,1.31,1.31,,Coi-odd-atom-AI,27,59,27,32,1.5,1.5,1,1,55818.801,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6F*,,,,1.336,1.336,,Coi-odd-atom-AI,27,59,27,32,2.5,2.5,3,1,24733.253,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6D*,,,,1.612,1.612,,Coi-odd-atom-AI,27,59,27,32,2.5,2.5,2,1,25739.804,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),6G*,,,,0.876,0.876,,Coi-odd-atom-AI,27,59,27,32,2.5,2.5,4,1,26449.912,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4F*,,,,1.033,1.033,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,3,1,29216.322,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4D*,,,,1.359,1.359,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,29948.73,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),4G*,,,,0.577,0.577,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,4,1,30102.912,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4D*,,,,1.366,1.366,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,32654.463,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4F).4s4.(3P),2F*,,,,0.87,0.87,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,3,1,32781.672,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(3P),2D*,,,,1.186,1.186,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,2,1,33462.795,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4G*,,,,0.704,0.704,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,4,1,33674.326,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),6S*,,,,2.0,2.0,,Coi-odd-atom-AI,27,59,27,32,2.5,2.5,0,1,33802.86,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3F).4p.(2P),4F*,,,,0.9,0.9,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,3,1,33945.846,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(3F).4p.(2P),4D*,,,,1.186,1.186,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,36092.42,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(3F).4p.(2P),4F*,,,,0.892,0.892,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,3,1,36329.834,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),6D*,,,,1.657,1.657,,Coi-odd-atom-AI,27,59,27,32,2.5,2.5,2,1,38902.844,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4D*,,,,1.37,1.37,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,40345.908,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),6P*,,,,1.863,1.863,,Coi-odd-atom-AI,27,59,27,32,2.5,2.5,1,1,41104.912,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),4P*,,,,1.627,1.627,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,1,1,41968.824,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4F*,,,,1.024,1.024,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,3,1,42434.16,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4F).4s4.(1P),4G*,,,,0.649,0.649,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,4,1,43199.624,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4D*,,,,1.101,1.101,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,43242.903,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(1D).4p.(2P),2F*,,,,1.119,1.119,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,3,1,43425.665,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d8.(1D).4p.(2P),2D*,,,,1.23,1.23,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,2,1,43921.83,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4F*,,,,0.95,0.95,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,3,1,44201.849,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4P*,,,,1.557,1.557,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,1,1,44480.085,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),4G*,,,,0.676,0.676,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,4,1,44568.409,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(3P).4p.(2P),2D*,,,,1.219,1.219,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,2,1,45688.071,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
3d7.(4P).4s4.(3P),4P*,,,,1.543,1.543,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,1,1,46002.771,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4D*,,,,1.365,1.365,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,46329.575,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(4P).4s4.(3P),2D*,,,,1.233,1.233,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,2,1,46671.88,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2G).4s4.(3P),2F*,,,,0.858,0.858,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,3,1,47128.898,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),4D*,,,,1.324,1.324,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,47393.893,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),4D*,,,,1.34,1.34,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,2,1,48443.716,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2H).4s4.(3P),4G*,,,,0.619,0.619,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,4,1,48615.402,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2P).4s4.(3P),2D*,,,,1.216,1.216,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,2,1,48828.801,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d7.(2D).4s4.(3P),4F*,,,,1.079,1.079,,Coi-odd-atom-AI,27,59,27,32,2.5,1.5,3,1,49847.05,,2,2,6,2,4,7,4,0,0,0,0,0,0,0
3d8.(1G).4p.(2P),2F*,,,,0.905,0.905,,Coi-odd-atom-AI,27,59,27,32,2.5,0.5,3,1,50712.401,,2,2,6,2,6,8,0,1,0,0,0,0,0,0
