Configuration,Term,Prefix,Suffix,Lande,Reference,Z,A,proton_number,neutron_number,J,S_qn,L_qn,parity,1s,2s,2p,3s,3p,3d,4s,4p,4d,4f,5s,5p,5d,6s,6p,6d,7s,7p,7d,8s,8p,8d,9s,9p,9d,10s,10p,10d,11s,11p,11d,12s,12p,12d,13s,13p,13d,14s,14p,14d,15s,15p,15d,16s,16p,16d,17s,17p,17d,18s,18p,18d,19s,19p,19d,20s,20p,20d,21s,21p,21d,22s,22p,22d,23s,23p,23d,24s,24p,24d,25s,25p,25d,26s,26p,26d,27s,27p,27d,28s,28p,28d,29s,29p,29d,30s,30p,30d,Level (cm-1),Uncertainty (cm-1)
13d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31657.155,0.006
15s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31735.182,0.006
15p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31833.76,0.05
15p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31852.65,0.05
14d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31867.682,0.006
14d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31871.514,0.006
16s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31929.789,0.006
16p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32004.2,0.05
16p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32018.55,0.05
15d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32029.909,0.006
15d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32032.821,0.006
17s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32077.492,0.006
17p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32135.03,0.05
17p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32146.2,0.05
16d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32154.979,0.006
16d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32157.274,0.006
18s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32192.251,0.006
18p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32237.65,0.05
18p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32246.51,0.05
17d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32253.449,0.006
17d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32255.275,0.006
19s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32283.18,0.006
19p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32319.63,0.05
19p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32326.77,0.05
18d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32332.354,0.006
18d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32333.827,0.006
20s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32356.444,0.006
20p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32386.15,0.05
20p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32391.99,0.05
19d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32396.552,0.006
19d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32397.761,0.006
21s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32416.34,0.006
22d,2D,,,,L11797,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32431.57,0.03
22d,2D,,,,L11797,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32530.86,0.03
21p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32440.87,0.05
21p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32445.71,0.05
20d,2D,,,,L10669,87,223,87,136,1.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32449.483,0.006
20d,2D,,,,L10669,87,223,87,136,2.5,0.5,2,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32450.488,0.006
22s,2S,,,,L10669,87,223,87,136,0.5,0.5,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32465.937,0.006
22p,2P*,,,,L11797,87,223,87,136,0.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32486.43,0.05
22p,2P*,,,,L11797,87,223,87,136,1.5,0.5,1,1,2,2,6,2,6,10,2,6,10,14,2,6,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32490.48,0.05
