Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""w 4D*"""""",""=""""7/2"""""",""="""""""""",""=""""43398.62"""""",""="""""""""",""="""""""""",""=""""1.334"""""",""=""""  88             :     3  3d8.(1D).4p            2F*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""w 4D*"""""",""=""""1/2"""""",""="""""""""",""=""""43435.58"""""",""="""""""""",""="""""""""",""=""""0.169"""""",""=""""  75             :     9  3d7.(2P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""w 4F*"""""",""=""""9/2"""""",""="""""""""",""=""""43295.32"""""",""="""""""""",""="""""""""",""=""""1.295"""""",""=""""  71             :    15  3d7.(4F).4s.4p.(1P*)   4F*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""w 4F*"""""",""=""""3/2"""""",""="""""""""",""=""""44555.71"""""",""="""""""""",""="""""""""",""=""""0.415"""""",""=""""  68             :    18  3d7.(4F).4s.4p.(1P*)   4F*  """""",""="""""""""""
"=""3p6.3d8.(1D).4p"",""=""""*"""""",""=""""5/2"""""",""="""""""""",""=""""43425.71"""""",""="""""""""",""="""""""""",""=""""1.119"""""",""=""""  37  2F*        :    36  3d7.(4P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(1D).4p"",""=""""*"""""",""=""""3/2"""""",""="""""""""",""=""""43537.71"""""",""="""""""""",""="""""""""",""=""""1.120"""""",""=""""  31  2P*        :    23  3d8.(1D).4p            2D*  """""",""="""""""""""
"=""3p6.3d8.(1D).4p"",""=""""x 2F*"""""",""=""""7/2"""""",""="""""""""",""=""""43555.22"""""",""="""""""""",""="""""""""",""=""""1.229"""""",""=""""  45             :    20  3d7.(2G).4s.4p.(3P*)   4F*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""*"""""",""=""""7/2"""""",""="""""""""",""=""""43847.98"""""",""="""""""""",""="""""""""",""=""""1.197"""""",""=""""  39  4F*        :    23  3d8.(1D).4p            2F*  """""",""="""""""""""
"=""3p6.3d8.(1D).4p"",""=""""x 2D*"""""",""=""""3/2"""""",""="""""""""",""=""""43911.36"""""",""="""""""""",""="""""""""",""=""""1.127"""""",""=""""  40             :    33  3d8.(1D).4p            2P*  """""",""="""""""""""
"=""3p6.3d8.(1D).4p"",""=""""x 2D*"""""",""=""""5/2"""""",""="""""""""",""=""""43921.89"""""",""="""""""""",""="""""""""",""=""""1.230"""""",""=""""  52             :    20  3d7.(2G).4s.4p.(3P*)   4F*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""w 4G*"""""",""=""""11/2"""""",""="""""""""",""=""""43952.06"""""",""=""""?"""""",""="""""""""",""=""""1.279"""""",""=""""  93                                                  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""w 4G*"""""",""=""""9/2"""""",""="""""""""",""=""""44183.34"""""",""="""""""""",""="""""""""",""=""""1.163"""""",""=""""  85             :     5  3d7.(2G).4s.4p.(3P*)   4F*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""w 4G*"""""",""=""""7/2"""""",""="""""""""",""=""""44394.47"""""",""="""""""""",""="""""""""",""=""""1.004"""""",""=""""  77             :    11  3d7.(2G).4s.4p.(3P*)   4F*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""w 4G*"""""",""=""""5/2"""""",""="""""""""",""=""""44568.47"""""",""="""""""""",""="""""""""",""=""""0.676"""""",""=""""  69             :    19  3d7.(2G).4s.4p.(3P*)   4F*  """""",""="""""""""""
"="""",""=""""4*"""""",""=""""7/2"""""",""="""""""""",""=""""43969.90"""""",""="""""""""",""="""""""""",""=""""1.081"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""*"""""",""=""""5/2"""""",""="""""""""",""=""""44201.92"""""",""="""""""""",""="""""""""",""=""""0.950"""""",""=""""  29  4F*        :    23  3d8.(1D).4p            2D*  """""",""="""""""""""
"="""",""=""""5*"""""",""=""""3/2"""""",""="""""""""",""=""""44381.32"""""",""=""""?"""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""z 2S*"""""",""=""""1/2"""""",""="""""""""",""=""""44454.51"""""",""="""""""""",""="""""""""",""=""""2.10"""""",""=""""  61             :    21  3d8.(3P).4p            2S*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(1P*)"",""=""""y 4P*"""""",""=""""5/2"""""",""="""""""""",""=""""44480.14"""""",""="""""""""",""="""""""""",""=""""1.557"""""",""=""""  42             :    33  3d7.(2P).4s.4p.(3P*)   4P*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(1P*)"",""=""""y 4P*"""""",""=""""3/2"""""",""="""""""""",""=""""44658.03"""""",""="""""""""",""="""""""""",""=""""1.674"""""",""=""""  40             :    37  3d7.(4P).4s.4p.(3P*)   4P*  """""",""="""""""""""
"=""3p6.3d8.(3F).5s"",""=""""e 4F"""""",""=""""9/2"""""",""="""""""""",""=""""44782.13"""""",""="""""""""",""="""""""""",""=""""1.33"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).5s"",""=""""e 4F"""""",""=""""7/2"""""",""="""""""""",""=""""45105.59"""""",""="""""""""",""="""""""""",""=""""1.21"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).5s"",""=""""e 4F"""""",""=""""5/2"""""",""="""""""""",""=""""45876.58"""""",""="""""""""",""="""""""""",""=""""1.01"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).5s"",""=""""e 4F"""""",""=""""3/2"""""",""="""""""""",""=""""46375.17"""""",""="""""""""",""="""""""""",""=""""0.44"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""4P*"""""",""=""""1/2"""""",""="""""""""",""=""""44857.57"""""",""="""""""""",""="""""""""",""=""""2.371"""""",""=""""  44             :    40  3d7.(4P).4s.4p.(1P*)   4P*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""z 2H*"""""",""=""""9/2"""""",""="""""""""",""=""""45111.48"""""",""="""""""""",""="""""""""",""=""""0.897"""""",""=""""  87                                                  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""z 2H*"""""",""=""""11/2"""""",""="""""""""",""=""""45540.28"""""",""="""""""""",""="""""""""",""=""""1.097"""""",""=""""  90                                                  """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""e 6F"""""",""=""""11/2"""""",""="""""""""",""=""""45676.00"""""",""="""""""""",""="""""""""",""=""""1.475"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""e 6F"""""",""=""""9/2"""""",""="""""""""",""=""""46223.01"""""",""="""""""""",""="""""""""",""=""""1.443"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""e 6F"""""",""=""""7/2"""""",""="""""""""",""=""""46706.83"""""",""="""""""""",""="""""""""",""=""""1.396"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""e 6F"""""",""=""""5/2"""""",""="""""""""",""=""""47090.65"""""",""="""""""""",""="""""""""",""=""""1.301"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""e 6F"""""",""=""""3/2"""""",""="""""""""",""=""""47364.73"""""",""="""""""""",""="""""""""",""=""""1.054"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""e 6F"""""",""=""""1/2"""""",""="""""""""",""=""""47528.44"""""",""="""""""""",""="""""""""",""=""""-0.666"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""2D*"""""",""=""""5/2"""""",""="""""""""",""=""""45688.15"""""",""="""""""""",""="""""""""",""=""""1.219"""""",""=""""  70             :     8  3d7.(4P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""2D*"""""",""=""""3/2"""""",""="""""""""",""=""""46186.41"""""",""="""""""""",""="""""""""",""=""""1.218"""""",""=""""  72             :     7  3d8.(1D).4p            2D*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""x 2G*"""""",""=""""7/2"""""",""="""""""""",""=""""45766.63"""""",""="""""""""",""="""""""""",""=""""0.898"""""",""=""""  79             :    10  3d7.(2H).4s.4p.(3P*)   2G*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""x 2G*"""""",""=""""9/2"""""",""="""""""""",""=""""46032.10"""""",""="""""""""",""="""""""""",""=""""1.131"""""",""=""""  80             :    10  3d7.(2H).4s.4p.(3P*)   2G*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""4S*"""""",""=""""3/2"""""",""="""""""""",""=""""45904.68"""""",""="""""""""",""="""""""""",""=""""1.674"""""",""=""""  32             :    25  3d7.(4P).4s.4p.(3P*)   4S*  """""",""="""""""""""
"=""3p6.3d8.(3F).5s"",""=""""e 2F"""""",""=""""7/2"""""",""="""""""""",""=""""45924.98"""""",""="""""""""",""="""""""""",""=""""1.14"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).5s"",""=""""e 2F"""""",""=""""5/2"""""",""="""""""""",""=""""46746.00"""""",""="""""""""",""="""""""""",""=""""0.49"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""x 4P*"""""",""=""""1/2"""""",""="""""""""",""=""""45957.29"""""",""="""""""""",""="""""""""",""=""""2.522"""""",""=""""  44             :    22  3d8.(3P).4p            4P*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""x 4P*"""""",""=""""5/2"""""",""="""""""""",""=""""46002.83"""""",""="""""""""",""="""""""""",""=""""1.543"""""",""=""""  30             :    24  3d7.(2P).4s.4p.(3P*)   4P*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""x 4P*"""""",""=""""3/2"""""",""="""""""""",""=""""46260.02"""""",""="""""""""",""="""""""""",""=""""1.508"""""",""=""""  30             :    18  3d8.(3P).4p            4P*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""4D*"""""",""=""""7/2"""""",""="""""""""",""=""""45971.19"""""",""="""""""""",""="""""""""",""=""""1.424"""""",""=""""  44             :    22  3d7.(2P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""4D*"""""",""=""""5/2"""""",""="""""""""",""=""""46329.63"""""",""="""""""""",""="""""""""",""=""""1.365"""""",""=""""  28             :    25  3d7.(2P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""4D*"""""",""=""""1/2"""""",""="""""""""",""=""""46502.15"""""",""="""""""""",""="""""""""",""=""""0.161"""""",""=""""  27             :    21  3d7.(a 2D).4s.4p.(3P*) 4D*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""2D*"""""",""=""""3/2"""""",""="""""""""",""=""""46454.95"""""",""="""""""""",""="""""""""",""=""""0.869"""""",""=""""  61             :    14  3d7.(2P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""2D*"""""",""=""""5/2"""""",""="""""""""",""=""""46671.94"""""",""="""""""""",""="""""""""",""=""""1.233"""""",""=""""  45             :    20  3d7.(2G).4s.4p.(3P*)   2F*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""*"""""",""=""""3/2"""""",""="""""""""",""=""""46562.87"""""",""="""""""""",""="""""""""",""=""""1.273"""""",""=""""  16  2P*        :    14  3d8.(3P).4p            4D*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""*"""""",""=""""3/2"""""",""="""""""""",""=""""46685.43"""""",""="""""""""",""="""""""""",""=""""1.352"""""",""=""""  27  2P*        :    12  3d8.(1D).4p            2P*  """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""*"""""",""=""""7/2"""""",""="""""""""",""=""""46872.74"""""",""="""""""""",""="""""""""",""=""""1.332"""""",""=""""  26  4D*        :    23  3d7.(a 2D).4s.4p.(3P*) 4D*  """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""y 2P*"""""",""=""""1/2"""""",""="""""""""",""=""""47091.14"""""",""="""""""""",""="""""""""",""=""""0.656"""""",""=""""  46             :    30  3d8.(1D).4p            2P*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""*"""""",""=""""5/2"""""",""="""""""""",""=""""47128.96"""""",""="""""""""",""="""""""""",""=""""0.858"""""",""=""""  33  2F*        :    22  3d7.(4P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"=""3p6.3d7.(2G).4s.4p.(3P*)"",""=""""*"""""",""=""""7/2"""""",""="""""""""",""=""""47225.11"""""",""="""""""""",""="""""""""",""=""""1.229"""""",""=""""  36  2F*        :    31  3d7.(2P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""u 4D*"""""",""=""""5/2"""""",""="""""""""",""=""""47393.93"""""",""="""""""""",""="""""""""",""=""""1.324"""""",""=""""  45             :    13  3d7.(4P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""u 4D*"""""",""=""""3/2"""""",""="""""""""",""=""""47612.18"""""",""="""""""""",""="""""""""",""=""""1.122"""""",""=""""  47             :    18  3d8.(3P).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""f 4F"""""",""=""""9/2"""""",""="""""""""",""=""""47524.47"""""",""="""""""""",""="""""""""",""=""""1.328"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""f 4F"""""",""=""""7/2"""""",""="""""""""",""=""""48201.60"""""",""="""""""""",""="""""""""",""=""""1.226"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""f 4F"""""",""=""""5/2"""""",""="""""""""",""=""""48718.57"""""",""="""""""""",""="""""""""",""=""""1.041"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.4s.(5F).5s"",""=""""f 4F"""""",""=""""3/2"""""",""="""""""""",""=""""49078.43"""""",""="""""""""",""="""""""""",""=""""0.401"""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""6*"""""",""=""""7/2"""""",""="""""""""",""=""""47839.15"""""",""="""""""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""*"""""",""=""""1/2"""""",""="""""""""",""=""""47905.26"""""",""="""""""""",""="""""""""",""=""""0.016"""""",""=""""  37  4D*        :    21  3d8.(3P).4p            2S*  """""",""="""""""""""
"="""",""=""""y 2S*"""""",""=""""1/2"""""",""="""""""""",""=""""47977.94"""""",""="""""""""",""="""""""""",""=""""2.093"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3P).4p"",""=""""*"""""",""=""""1/2"""""",""="""""""""",""=""""48026.34"""""",""="""""""""",""="""""""""",""=""""1.699"""""",""=""""  35  2S*        :    26  3d7.(2P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""t 4D*"""""",""=""""7/2"""""",""="""""""""",""=""""48217.32"""""",""="""""""""",""="""""""""",""=""""1.211"""""",""=""""  51             :    18  3d8.(3P).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""t 4D*"""""",""=""""5/2"""""",""="""""""""",""=""""48443.76"""""",""="""""""""",""="""""""""",""=""""1.340"""""",""=""""  52             :    19  3d8.(3P).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""t 4D*"""""",""=""""1/2"""""",""="""""""""",""=""""48571.77"""""",""="""""""""",""="""""""""",""=""""0.452"""""",""=""""  52             :    16  3d8.(3P).4p            4D*  """""",""="""""""""""
"=""3p6.3d7.(2H).4s.4p.(3P*)"",""=""""4G*"""""",""=""""7/2"""""",""="""""""""",""=""""48317.17"""""",""="""""""""",""="""""""""",""=""""1.173"""""",""=""""  84             :     4  3d7.(2G).4s.4p.(3P*)   2F*  """""",""="""""""""""
"=""3p6.3d7.(2H).4s.4p.(3P*)"",""=""""4G*"""""",""=""""5/2"""""",""="""""""""",""=""""48615.56"""""",""=""""?"""""",""="""""""""",""=""""0.619"""""",""=""""  81             :     7  3d7.(2G).4s.4p.(3P*)   2F*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""48334.37"""""",""="""""""""",""="""""""""",""=""""1.436"""""",""=""""  40             :    15  3d7.(2P).4s.4p.(3P*)   4S*  """""",""="""""""""""
"=""3p6.3d7.(4P).4s.4p.(3P*)"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""48837.72"""""",""="""""""""",""="""""""""",""=""""1.50"""""",""=""""  60             :    12  3d7.(2P).4s.4p.(3P*)   2S*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""*"""""",""=""""3/2"""""",""="""""""""",""=""""48546.07"""""",""="""""""""",""="""""""""",""=""""1.050"""""",""=""""  21  4D*        :    22  3d7.(2P).4s.4p.(3P*)   4S*  """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""x 4S*"""""",""=""""3/2"""""",""="""""""""",""=""""48753.72"""""",""="""""""""",""="""""""""",""=""""1.728"""""",""=""""  48             :    26  3d7.(a 2D).4s.4p.(3P*) 4D*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""*"""""",""=""""5/2"""""",""="""""""""",""=""""48828.87"""""",""="""""""""",""="""""""""",""="""""""""",""=""""  34  4P*        :    32  3d7.(2P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"="""",""=""""8*"""""",""=""""3/2"""""",""="""""""""",""=""""48851.58"""""",""=""""?"""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""*"""""",""=""""3/2"""""",""="""""""""",""=""""49025.42"""""",""="""""""""",""="""""""""",""=""""1.099"""""",""=""""  39  2D*        :    34  3d7.(4P).4s.4p.(3P*)   2P*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""4F*"""""",""=""""9/2"""""",""="""""""""",""=""""49197.74"""""",""=""""?"""""",""="""""""""",""="""""""""",""=""""  98                                                  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""4F*"""""",""=""""7/2"""""",""="""""""""",""=""""49484.05"""""",""="""""""""",""="""""""""",""=""""1.260"""""",""=""""  75             :     6  3d7.(2P).4s.4p.(3P*)   4D*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""4F*"""""",""=""""5/2"""""",""="""""""""",""=""""49847.08"""""",""="""""""""",""="""""""""",""=""""1.079"""""",""=""""  43             :    24  3d7.(2P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"=""3p6.3d7.(a 2D).4s.4p.(3P*)"",""=""""4F*"""""",""=""""3/2"""""",""="""""""""",""=""""50105.05"""""",""="""""""""",""="""""""""",""=""""0.569"""""",""=""""  50             :    15  3d7.(2P).4s.4p.(3P*)   2D*  """""",""="""""""""""
"="""",""=""""w 2P*"""""",""=""""1/2"""""",""="""""""""",""=""""49754.73"""""",""="""""""""",""="""""""""",""=""""1.365"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(1G).4p"",""=""""y 2H*"""""",""=""""9/2"""""",""="""""""""",""=""""50210.80"""""",""="""""""""",""="""""""""",""=""""0.899"""""",""=""""  81             :     9  3d7.(2H).4s.4p.(3P*)   2H*  """""",""="""""""""""
"=""3p6.3d8.(1G).4p"",""=""""y 2H*"""""",""=""""11/2"""""",""="""""""""",""=""""50375.91"""""",""="""""""""",""="""""""""",""=""""1.091"""""",""=""""  69             :    17  3d7.(2H).4s.4p.(3P*)   2H*  """""",""="""""""""""
"=""3p6.3d8.(1G).4p"",""=""""u 2F*"""""",""=""""7/2"""""",""="""""""""",""=""""50578.73"""""",""="""""""""",""="""""""""",""=""""1.125"""""",""=""""  60             :    12  3d7.(a 2D).4s.4p.(3P*) 2F*  """""",""="""""""""""
"=""3p6.3d8.(1G).4p"",""=""""u 2F*"""""",""=""""5/2"""""",""="""""""""",""=""""50712.45"""""",""="""""""""",""="""""""""",""=""""0.905"""""",""=""""  57             :    17  3d7.(a 2D).4s.4p.(3P*) 2F*  """""",""="""""""""""
"=""3p6.3d8.(1G).4p"",""=""""w 2G*"""""",""=""""9/2"""""",""="""""""""",""=""""50593.38"""""",""="""""""""",""="""""""""",""=""""1.10"""""",""=""""  40             :    38  3d7.(2H).4s.4p.(3P*)   2G*  """""",""="""""""""""
"=""3p6.3d8.(1G).4p"",""=""""w 2G*"""""",""=""""7/2"""""",""="""""""""",""=""""50611.22"""""",""="""""""""",""="""""""""",""=""""0.82"""""",""=""""  38             :    37  3d7.(2H).4s.4p.(3P*)   2G*  """""",""="""""""""""
"=""3p6.3d7.(2H).4s.4p.(3P*)"",""=""""4H*"""""",""=""""11/2"""""",""="""""""""",""=""""50703.08"""""",""="""""""""",""="""""""""",""=""""1.110"""""",""=""""  86             :    11  3d8.(1G).4p            2H*  """""",""="""""""""""
"=""3p6.3d7.(2H).4s.4p.(3P*)"",""=""""4H*"""""",""=""""9/2"""""",""="""""""""",""=""""50902.61"""""",""="""""""""",""="""""""""",""=""""0.941"""""",""=""""  86             :     5  3d8.(1G).4p            2G*  """""",""="""""""""""
"=""3p6.3d7.(2H).4s.4p.(3P*)"",""=""""4H*"""""",""=""""7/2"""""",""="""""""""",""=""""51184.63"""""",""="""""""""",""="""""""""",""="""""""""",""=""""  89             :     5  3d8.(1G).4p            2G*  """""",""="""""""""""
"="""",""=""""13*"""""",""=""""7/2"""""",""="""""""""",""=""""50738.20"""""",""="""""""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""13*"""""",""=""""9/2"""""",""="""""""""",""=""""50738.20"""""",""="""""""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""s 4D*"""""",""=""""7/2"""""",""="""""""""",""=""""50741.66"""""",""="""""""""",""="""""""""",""=""""1.458"""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""s 4D*"""""",""=""""5/2"""""",""="""""""""",""=""""51139.38"""""",""="""""""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""s 4D*"""""",""=""""3/2"""""",""="""""""""",""=""""51847.27"""""",""="""""""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""s 4D*"""""",""=""""1/2"""""",""="""""""""",""=""""52264.01"""""",""=""""?"""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"="""",""=""""14*"""""",""=""""5/2"""""",""="""""""""",""=""""50806.55"""""",""="""""""""",""="""""""""",""=""""1.136"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""v 2P*"""""",""=""""3/2"""""",""="""""""""",""=""""50925.11"""""",""="""""""""",""="""""""""",""=""""1.340"""""",""=""""  53             :    15  3d7.(a 2D).4s.4p.(3P*) 4D*  """""",""="""""""""""
"=""3p6.3d7.(2P).4s.4p.(3P*)"",""=""""v 2P*"""""",""=""""1/2"""""",""="""""""""",""=""""50945.47"""""",""="""""""""",""="""""""""",""=""""0.732"""""",""=""""  71             :    13  3d7.(a 2D).4s.4p.(3P*) 4D*  """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4P"""""",""=""""5/2"""""",""="""""""""",""=""""51042.26"""""",""="""""""""",""="""""""""",""=""""1.59"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4P"""""",""=""""3/2"""""",""="""""""""",""=""""52033.26"""""",""="""""""""",""="""""""""",""=""""1.40"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4P"""""",""=""""1/2"""""",""="""""""""",""=""""52915.92"""""",""=""""?"""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4D"""""",""=""""7/2"""""",""="""""""""",""=""""51052.98"""""",""="""""""""",""="""""""""",""=""""1.402"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4D"""""",""=""""5/2"""""",""="""""""""",""=""""51560.76"""""",""="""""""""",""="""""""""",""=""""1.354"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4D"""""",""=""""3/2"""""",""="""""""""",""=""""52264.49"""""",""=""""?"""""",""="""""""""",""="""""""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4D"""""",""=""""1/2"""""",""="""""""""",""=""""52634.62"""""",""="""""""""",""="""""""""",""=""""1.58"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4H"""""",""=""""13/2"""""",""="""""""""",""=""""51142.53"""""",""="""""""""",""="""""""""",""=""""1.224"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4H"""""",""=""""11/2"""""",""="""""""""",""=""""51174.28"""""",""="""""""""",""="""""""""",""=""""1.147"""""",""=""""                                                      """""",""="""""""""""
"=""3p6.3d8.(3F).4d"",""=""""e 4H"""""",""=""""9/2"""""",""="""""""""",""=""""52121.21"""""",""="""""""""",""="""""""""",""=""""0.96"""""",""=""""                                                      """""",""="""""""""""
