Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""3p6.4s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""0.0000"""""",""="""""""""",""=""""0.0005"""""",""=""""2.002295"""""",""=""""L7185"""""""
"=""3p6.4p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""12985.185724"""""",""="""""""""",""=""""0.000002"""""",""="""""""""",""=""""L8995"""""""
"=""3p6.4p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""13042.896027"""""",""="""""""""",""=""""0.000004"""""",""="""""""""",""=""""L8995"""""""
"=""3p6.5s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""21026.551"""""",""="""""""""",""=""""0.005"""""",""="""""""""",""=""""L1792"""""""
"=""3p6.3d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""21534.680"""""",""="""""""""",""=""""0.005"""""",""="""""""""",""=""""L1792"""""""
"=""3p6.3d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""21536.988"""""",""="""""""""",""=""""0.005"""""",""="""""""""",""=""""L1792"""""""
"=""3p6.5p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""24701.382"""""",""="""""""""",""=""""0.005"""""",""=""""0.665"""""",""=""""L1792"""""""
"=""3p6.5p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""24720.139"""""",""="""""""""",""=""""0.005"""""",""="""""""""",""=""""L1792"""""""
"=""3p6.4d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""27397.077"""""",""="""""""""",""=""""0.005"""""",""="""""""""",""=""""L1792"""""""
"=""3p6.4d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""27398.147"""""",""="""""""""",""=""""0.005"""""",""="""""""""",""=""""L1792"""""""
"=""3p6.6s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""27450.7104"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5770"""""""
"=""3p6.4f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""28127.85"""""",""="""""""""",""=""""0.05"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.4f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""28127.85"""""",""="""""""""",""=""""0.05"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.6p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""28999.27"""""",""="""""""""",""=""""0.05"""""",""=""""0.6663"""""",""=""""L6096"""""""
"=""3p6.6p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""29007.71"""""",""="""""""""",""=""""0.05"""""",""=""""1.3337"""""",""=""""L6096"""""""
"=""3p6.5d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30185.2439"""""",""="""""""""",""=""""0.003"""""",""=""""1.2004"""""",""=""""L5770"""""""
"=""3p6.5d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30185.7476"""""",""="""""""""",""=""""0.003"""""",""=""""0.7997"""""",""=""""L5770"""""""
"=""3p6.7s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30274.2487"""""",""="""""""""",""=""""0.003"""""",""=""""2.0020"""""",""=""""L5770"""""""
"=""3p6.5f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30606.73"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.5f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30606.73"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.5g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""30617.31"""""",""="""""""""",""=""""0.01"""""",""="""""""""",""=""""L873"""""""
"=""3p6.5g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""30617.31"""""",""="""""""""",""=""""0.01"""""",""="""""""""",""=""""L873"""""""
"=""3p6.7p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31069.90"""""",""="""""""""",""=""""0.06"""""",""=""""0.6659"""""",""=""""L6096"""""""
"=""3p6.7p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31074.40"""""",""="""""""""",""=""""0.06"""""",""=""""1.3336"""""",""=""""L6096"""""""
"=""3p6.6d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31695.9005"""""",""="""""""""",""=""""0.003"""""",""=""""1.2013"""""",""=""""L5770"""""""
"=""3p6.6d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31696.1661"""""",""="""""""""",""=""""0.003"""""",""=""""0.7999"""""",""=""""L5770"""""""
"=""3p6.8s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31765.3767"""""",""="""""""""",""=""""0.003"""""",""=""""2.0028"""""",""=""""L5770"""""""
"=""3p6.6f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31953.17"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.6f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31953.17"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.8p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32227.44"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.8p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32230.11"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.7d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32598.2881"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.7d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32598.4437"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.9s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32648.3511"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.7f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""32764.80"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.7f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""32764.80"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.9p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32940.2030"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.9p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32941.9262"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.8d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33178.1339"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.8d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33178.2324"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.10s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33214.2267"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.8f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""33291.40"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.8f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""33291.40"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.10p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33410.2306"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.10p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33411.3986"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.9d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33572.0592"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.9d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33572.1249"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.11s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33598.5597"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.9f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""33652.32"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.9f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""33652.32"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33736.4979"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33737.3284"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33851.5956"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33851.6418"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33871.4788"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.10f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""33910.42"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.10f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""33910.42"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33972.2064"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33972.8148"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.11d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34057.0051"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.11d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34057.0385"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.13s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34072.2393"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.11f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34101.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.11f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34101.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L6096"""""""
"=""3p6.13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34148.0284"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34148.4861"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.12d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34212.3139"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.12d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34212.3393"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.14s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34224.2113"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.12f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34246.37"""""",""="""""""""",""=""""0.05"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.12f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34246.37"""""",""="""""""""",""=""""0.05"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34282.6573"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34283.0181"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.13d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34332.5627"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.13d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34332.5823"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.15s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34342.0150"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.13f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34359.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.13f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34359.36"""""",""="""""""""",""=""""0.06"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34388.0315"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34388.3148"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.14d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34427.5513"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.14d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34427.5667"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.16s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34435.1762"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.14f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""34448.98"""""",""="""""""""",""=""""0.07"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.14f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""34448.98"""""",""="""""""""",""=""""0.07"""""",""="""""""""",""=""""L2996"""""""
"=""3p6.16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34472.0505"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34472.2798"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.15d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34503.8844"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.15d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34503.8967"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.17s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""34510.1190"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""34540.1250"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""34540.3088"""""",""="""""""""",""=""""0.003"""""",""="""""""""",""=""""L5783"""""""
"=""3p6.16d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""34566.1420"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
"=""3p6.16d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""34566.1522"""""",""="""""""""",""=""""0.0007"""""",""="""""""""",""=""""L5451"""""""
