Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4p6.5s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""0.000"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""12578.950"""""",""="""""""""",""=""""0.002"""""",""=""""L9039"""""""
"=""4p6.5p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""12816.545"""""",""="""""""""",""=""""0.002"""""",""=""""L9039"""""""
"=""4p6.4d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""19355.203"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.4d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""19355.649"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""20132.510"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""23715.081"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""23792.591"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""25700.536"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""25703.498"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""26311.437"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.4f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""26792.092"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.4f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""26792.118"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""27835.02"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""27870.11"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""28687.127"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""28689.390"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""29046.816"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""29277.768"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""29277.787"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5g"",""=""""2G"""""",""=""""7/2"""""",""="""""""""",""=""""29296.196"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.5g"",""=""""2G"""""",""=""""9/2"""""",""="""""""""",""=""""29296.196"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""29834.94"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""29853.79"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""30280.113"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""30281.620"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.9s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""30499.031"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""30627.962"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.6f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""30627.978"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.9p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""30958.91"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.9p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""30970.19"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31221.440"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31222.453"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.10s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31362.331"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31441.718"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.7f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31441.730"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.10p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""31653.85"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.10p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""31661.16"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.9d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""31821.855"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.9d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""31822.550"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.11s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""31917.221"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8f"",""=""""2F*"""""",""=""""7/2"""""",""="""""""""",""=""""31969.616"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.8f"",""=""""2F*"""""",""=""""5/2"""""",""="""""""""",""=""""31969.621"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.11p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32113.55"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.11p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32118.52"""""",""="""""""""",""=""""0.010"""""",""=""""L9039"""""""
"=""4p6.10d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""32227.610"""""",""="""""""""",""=""""0.004"""""",""=""""L9039"""""""
"=""4p6.10d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""32228.108"""""",""="""""""""",""=""""0.004"""""",""=""""L9039"""""""
"=""4p6.12s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""32294.911"""""",""="""""""""",""=""""0.004"""""",""=""""L9039"""""""
"=""4p6.12p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32433.50"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.12p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32437.04"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.13p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32665.03"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.13p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32667.63"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.14p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32838.02"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.14p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32840.02"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.15p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""32970.66"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.15p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""32972.19"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.16p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33074.59"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.16p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33075.83"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.17p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33157.54"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.17p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33158.54"""""",""="""""""""",""=""""0.05"""""",""=""""L9039"""""""
"=""4p6.18p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33224.83"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.18p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33225.67"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.19p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33280.13"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.19p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33280.81"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.20p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33326.13"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.20p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33326.70"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.21p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33364.81"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.21p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33365.29"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.22p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33397.66"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.22p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33398.09"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.23p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33425.76"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.23p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33426.15"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.24p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33450.03"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.24p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33450.38"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.25p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33471.11"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.25p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33471.43"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.26p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33489.53"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.26p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33489.79"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.27p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33505.92"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.27p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33505.92"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.28p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33520.22"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.28p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33520.22"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.29p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33532.91"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.29p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33532.91"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.30p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33544.26"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.30p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33544.26"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.31p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33554.47"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.31p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33554.47"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.32p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33563.57"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.32p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33563.57"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.33p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33571.85"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.33p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33571.85"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.34p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33579.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.34p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33579.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.35p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33586.11"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.35p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33586.11"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.36p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33592.31"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.36p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33592.31"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.37p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33597.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.37p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33597.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.38p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33603.14"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.38p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33603.14"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.37d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33604.6"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.37d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33604.6"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.39s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33605.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.39p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33607.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.39p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33607.96"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.38d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33609.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.38d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33609.5"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.40s"",""=""""2S"""""",""=""""1/2"""""",""="""""""""",""=""""33610.4"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.40p"",""=""""2P*"""""",""=""""3/2"""""",""="""""""""",""=""""33612.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.40p"",""=""""2P*"""""",""=""""1/2"""""",""="""""""""",""=""""33612.34"""""",""="""""""""",""=""""0.06"""""",""=""""L9039"""""""
"=""4p6.39d"",""=""""2D"""""",""=""""3/2"""""",""="""""""""",""=""""33613.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
"=""4p6.39d"",""=""""2D"""""",""=""""5/2"""""",""="""""""""",""=""""33613.7"""""",""="""""""""",""=""""0.3"""""",""=""""L9039"""""""
